state,year,price,customerdensity,wage,nrgen,pnrgen,nrcap,pnrcap,rgen,prgen,rcap,prcap,dcoal,dnuc,dsol,dhydro,dwind,pci,jul,rec
AR,1992,8.28,19.61,3.65,34898561.00,0.88,8876.40,0.86,4847540.00,0.12,1137.35,0.11,1,1,0,1,0,16204,79.40,0
AR,1993,8.27,19.97,3.65,34389592.00,0.85,8795.40,0.85,6109062.00,0.15,1169.75,0.11,1,1,0,1,0,16692,83.30,0
AR,1994,8.07,20.39,4.25,37000759.00,0.88,8882.00,0.86,5031389.00,0.12,1169.75,0.11,1,1,0,1,0,17496,78.10,0
AR,1995,7.98,20.85,4.25,37189989.00,0.89,8762.50,0.85,4782099.00,0.11,1169.75,0.11,1,1,0,1,0,18260,80.10,0
AR,1996,7.77,21.24,4.25,41652779.00,0.90,8719.80,0.85,4380784.00,0.10,1169.75,0.11,1,1,0,1,0,19170,79.40,0
AR,1997,7.80,21.53,4.25,40091414.00,0.89,8677.63,0.85,5102186.00,0.11,1169.75,0.11,1,1,0,1,0,19846,81.60,0
AR,1998,7.51,21.90,5.15,40949884.00,0.90,8809.80,0.86,4715417.00,0.10,1188.25,0.12,1,1,0,1,0,20798,84.00,0
AR,1999,7.43,22.27,5.15,42290918.00,0.91,8609.99,0.84,4263021.00,0.09,1314.75,0.13,1,1,0,1,0,21556,81.60,0
AR,2000,7.45,22.62,5.15,39903708.00,0.91,8463.00,0.83,3972058.00,0.09,1315.00,0.13,1,1,0,1,0,22574,80.20,0
AR,2001,7.72,22.84,5.15,43131553.00,0.91,8947.00,0.84,4060482.00,0.09,1314.00,0.12,1,1,0,1,0,23864,82.10,1
AR,2002,7.25,23.08,5.15,42419918.00,0.89,10212.00,0.86,5191727.00,0.11,1309.00,0.11,1,1,0,1,0,24260,80.70,0
AR,2003,7.24,23.47,5.15,45783349.00,0.91,12766.00,0.88,4617752.00,0.09,1309.00,0.09,1,1,0,1,0,25407,80.10,0
AR,2004,7.36,23.83,5.15,46411119.00,0.89,12766.00,0.88,5516513.00,0.11,1309.00,0.09,1,1,0,1,0,26810,77.90,0
AR,2005,8.00,24.21,5.15,42940476.00,0.90,13260.00,0.89,4854033.00,0.10,1309.00,0.09,1,1,0,1,0,27858,80.10,0
AR,2006,8.85,24.65,5.15,48858756.00,0.94,13666.00,0.89,3309947.00,0.06,1309.00,0.09,1,1,0,1,0,29385,81.20,0
AR,2007,8.73,24.94,6.25,49688686.00,0.91,14750.00,0.90,4907550.00,0.09,1309.00,0.08,1,1,0,1,0,31353,77.60,0
AR,2008,9.27,25.14,6.25,48807443.00,0.89,14730.00,0.89,6243085.00,0.11,1309.00,0.08,1,1,0,1,0,32861,80.40,1
AR,2009,9.14,25.26,6.25,51555099.00,0.90,14730.00,0.89,5902640.00,0.10,1321.00,0.08,1,1,0,1,0,31688,77.60,1
AR,2010,8.86,25.41,6.25,55689379.00,0.91,15494.00,0.90,5310806.00,0.09,1321.00,0.08,1,1,0,1,0,32373,82.10,0
AZ,1992,9.58,13.16,4.25,63503074.00,0.90,13890.64,0.83,7049653.00,0.10,2675.72,0.16,1,1,0,1,0,17762,78.80,0
AZ,1993,9.65,13.52,4.25,61343066.00,0.90,13914.07,0.83,7125920.00,0.10,2675.72,0.16,1,1,0,1,0,18371,79.00,0
AZ,1994,9.30,13.82,4.25,64149729.00,0.89,13977.76,0.83,7784767.00,0.11,2691.42,0.16,1,1,0,1,0,19385,82.00,0
AZ,1995,9.09,14.46,4.25,61211670.00,0.88,13977.76,0.83,8569269.00,0.12,2696.22,0.16,1,1,0,1,0,20164,80.70,0
AZ,1996,8.95,15.01,4.25,62098320.00,0.87,13921.64,0.83,9556498.00,0.13,2696.22,0.16,1,1,0,1,0,21159,83.00,0
AZ,1997,8.82,15.57,4.75,66342539.00,0.84,13921.64,0.83,12482661.00,0.16,2704.22,0.16,1,1,0,1,0,22231,80.10,0
AZ,1998,8.68,16.10,5.15,70855892.00,0.86,13835.80,0.83,11239180.00,0.14,2704.18,0.16,1,1,0,1,0,23722,82.10,0
AZ,1999,8.53,16.69,5.15,73805537.00,0.88,13833.34,0.83,10087636.00,0.12,2765.19,0.17,1,1,0,1,0,24583,79.20,0
AZ,2000,8.44,17.25,5.15,80298822.00,0.90,13808.00,0.83,8647755.00,0.10,2831.00,0.17,1,1,0,1,0,26293,82.00,0
AZ,2001,8.30,17.89,5.15,81971976.00,0.91,15452.00,0.84,7939296.00,0.09,2703.00,0.15,1,1,1,1,0,27091,80.40,1
